sample_id,npz_file,source_file,passed_quality,num_raw_points,num_resampled_points,t_max,x_tmax,camber_max,x_camber_max,te_gap
2032c,2032c.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/2032c.dat,True,35,257,0.07956142271016972,0.19724447929783723,0.06933933293571168,0.39644431190389073,0.0032
30p-30n-flap,30p-30n-flap.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/30p-30n-flap.dat,True,242,257,0.17785630595788787,0.21209590429107733,0.08453814893765803,0.4632177182001663,0.02599247721522291
30p-30n-main,30p-30n-main.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/30p-30n-main.dat,True,221,257,0.1391392227793536,0.4327096457464369,0.0248458547755252,0.7978496522462166,0.0
30p-30n-slat,30p-30n-slat.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/30p-30n-slat.dat,False,201,257,0.7058946516637259,0.5184036114706795,0.24676659307990667,0.5184036114706795,0.0
30p-30n,30p-30n.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/30p-30n.dat,False,664,257,0.05895507170523441,0.5306603681511043,0.11844806085245099,0.5306603681511043,-0.08897052499983378
a18,a18.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/a18.dat,True,41,257,0.07340492469955709,0.29737934299750507,0.038720229878359026,0.4509914298352196,0.00614
a18sm,a18sm.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/a18sm.dat,True,79,257,0.07281819267918566,0.26973064452088,0.038411779952503014,0.48772938573854385,0.00613
a63a108c,a63a108c.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/a63a108c.dat,True,99,257,0.07733017373220147,0.3030039799694759,0.0048571977380832115,0.12543180273827031,0.007
ag03,ag03.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag03.dat,True,180,257,0.062367193360828806,0.2535509038851079,0.02032601783317531,0.3200524817325059,0.00121000363001089
ag04,ag04.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag04.dat,True,180,257,0.06422785403176225,0.22221488349019886,0.01729415280469221,0.40245483899193585,0.00134002201636129
