sample_id,npz_file,source_file,passed_quality,num_raw_points,num_resampled_points,t_max,x_tmax,camber_max,x_camber_max,te_gap
2032c,2032c.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/2032c.dat,True,35,257,0.0795614227101697,0.1972444792978372,0.0693393329357116,0.3964443119038907,0.0032
30p-30n-flap,30p-30n-flap.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/30p-30n-flap.dat,True,242,257,0.1778563059578878,0.2120959042910773,0.084538148937658,0.4632177182001663,0.0259924772152229
30p-30n-main,30p-30n-main.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/30p-30n-main.dat,True,221,257,0.1391392227793536,0.4327096457464369,0.0248458547755252,0.7978496522462166,0.0
a18,a18.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/a18.dat,True,41,257,0.073404924699557,0.297379342997505,0.038720229878359,0.4509914298352196,0.00614
a18sm,a18sm.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/a18sm.dat,True,79,257,0.0728181926791856,0.26973064452088,0.038411779952503,0.4877293857385438,0.00613
a63a108c,a63a108c.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/a63a108c.dat,True,99,257,0.0773301737322014,0.3030039799694759,0.0048571977380832,0.1254318027382703,0.007
ag03,ag03.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag03.dat,True,180,257,0.0623671933608288,0.2535509038851079,0.0203260178331753,0.3200524817325059,0.0012100036300108
ag04,ag04.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag04.dat,True,180,257,0.0642278540317622,0.2222148834901988,0.0172941528046922,0.4024548389919358,0.0013400220163612
ag08,ag08.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag08.dat,True,180,257,0.0582952100026747,0.2071010712717805,0.0178760714636306,0.3964443119038907,0.0015989973655
ag09,ag09.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag09.dat,True,180,257,0.0486275963921508,0.1734135785231116,0.0185961604620333,0.3373448539188685,0.0019530002837255
ag10,ag10.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag10.dat,True,180,257,0.047269259321422,0.1596995011022734,0.0168309789250675,0.3431591298005542,0.0036168128878045
ag11,ag11.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag11.dat,True,183,257,0.0581231424214644,0.2589081139604385,0.0227756800902396,0.297379342997505,0.0023210294431265
ag12,ag12.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag12.dat,True,160,257,0.0623567167109848,0.2171340946081933,0.0184916655081301,0.4266347627723191,0.000942
ag13,ag13.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag13.dat,True,160,257,0.0583402213921405,0.2120959042910773,0.0197167307878278,0.4205709283330693,0.000948
ag14,ag14.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag14.dat,True,160,257,0.0536947200998979,0.1972444792978372,0.0209774985838493,0.4084800560224295,0.0009560009560009
ag16,ag16.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag16.dat,True,160,257,0.0711395793085435,0.2325011900564513,0.0191220855113165,0.4693396318488956,0.0009289900460189
ag17,ag17.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag17.dat,True,160,257,0.0648736586192946,0.2222148834901988,0.0205500920174026,0.45710134382778,0.0009389862310951
ag18,ag18.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag18.dat,True,160,257,0.0586720042192666,0.2071010712717805,0.021999416439013,0.4448888963530584,0.0009479829421923
ag19,ag19.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag19.dat,True,160,257,0.0540219880624512,0.1972444792978372,0.0230776422425834,0.4266347627723191,0.0009539834661847
ag23,ag23.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag23.dat,True,160,257,0.0889904988136952,0.2751943351726967,0.0218485418756223,0.4509914298352196,0.0009884482382782
ag24,ag24.npz,/home/vipuser/Meri-FID-Gate-Airfoil/data/airfoil/raw/uiuc/coord_seligFmt/coord_seligFmt/ag24.dat,True,160,257,0.0841352750063152,0.2643016315870011,0.0223535965292191,0.45710134382778,0.0009710009710009
